Image_File,symptom_classifier_final1_Prediction,symptom_classifier_final1_Confidence,symptom_classifier_final2_Prediction,symptom_classifier_final2_Confidence,symptom_classifier_final3_Prediction,symptom_classifier_final3_Confidence,Total_Consensus
10000655256_0.png,wrinkles,65.82,wrinkles,49.32,acne,89.38,False
10001779696_0.png,wrinkles,91.63,wrinkles,88.66,wrinkles,92.95,True
10001847216_1.png,wrinkles,63.83,clear_face,91.62,clear_face,42.15,False
10002062985_3.png,wrinkles,99.72,wrinkles,87.4,wrinkles,61.07,True
10002192495_0.png,wrinkles,94.4,wrinkles,92.81,wrinkles,96.02,True
10003233084_0.png,wrinkles,96.71,wrinkles,93.44,wrinkles,99.13,True
10003870344_0.png,wrinkles,97.27,wrinkles,99.23,wrinkles,98.79,True
10003930603_3.png,wrinkles,70.35,wrinkles,97.65,wrinkles,52.84,True
10004192793_0.png,wrinkles,29.54,clear_face,100.0,clear_face,61.03,False
10004847784_0.png,wrinkles,98.09,wrinkles,92.47,wrinkles,84.31,True
1000634364_0.png,wrinkles,91.65,wrinkles,97.49,wrinkles,97.58,True
10010330783_2.png,clear_face,48.35,clear_face,61.4,wrinkles,54.24,False
10010835793_0.png,acne,50.93,clear_face,42.99,acne,51.66,False
10011341244_0.png,wrinkles,99.97,wrinkles,99.54,wrinkles,99.79,True
10012353886_1.png,clear_face,86.39,clear_face,66.94,clear_face,38.89,True
10012492814_2.png,wrinkles,87.66,acne,43.79,acne,77.81,False
10013838883_0.png,clear_face,88.62,clear_face,86.99,clear_face,63.22,True
10013838883_1.png,clear_face,98.99,clear_face,98.37,clear_face,86.38,True
10013977716_0.png,wrinkles,76.06,wrinkles,84.75,wrinkles,50.77,True
10014032136_0.png,wrinkles,98.04,wrinkles,62.45,wrinkles,90.84,True
10014740055_0.png,wrinkles,98.74,wrinkles,53.17,wrinkles,56.62,True
10014918624_0.png,wrinkles,99.9,wrinkles,98.05,wrinkles,99.96,True
10014918624_1.png,wrinkles,99.97,wrinkles,99.51,wrinkles,99.64,True
10017388645_0.png,wrinkles,51.39,clear_face,55.4,wrinkles,62.92,False
10020431823_0.png,wrinkles,99.39,wrinkles,69.7,wrinkles,64.81,True
10020798645_2.png,wrinkles,99.78,wrinkles,98.14,wrinkles,98.72,True
10020932873_0.png,wrinkles,99.98,wrinkles,98.83,wrinkles,99.11,True
10022101856_0.png,wrinkles,99.67,wrinkles,99.56,wrinkles,91.57,True
10022434096_1.png,wrinkles,99.3,wrinkles,96.79,wrinkles,99.31,True
10023998094_0.png,wrinkles,98.46,wrinkles,75.51,wrinkles,82.13,True
10024428606_0.png,clear_face,60.1,wrinkles,84.02,wrinkles,75.14,False
10024428606_1.png,wrinkles,96.63,wrinkles,99.53,wrinkles,93.19,True
1002498436_1.png,wrinkles,77.52,darkspots,46.9,wrinkles,46.1,False
10027364914_0.png,wrinkles,99.97,wrinkles,99.97,wrinkles,99.19,True
10027464864_0.png,wrinkles,99.99,wrinkles,99.95,wrinkles,99.94,True
10027496235_0.png,wrinkles,99.97,wrinkles,99.96,wrinkles,98.55,True
10029614256_1.png,clear_face,72.61,clear_face,60.23,wrinkles,86.24,False
10032602356_0.png,wrinkles,99.99,wrinkles,99.98,wrinkles,99.72,True
10032967503_0.png,wrinkles,99.38,wrinkles,98.17,wrinkles,94.62,True
10034054603_0.png,puffy_eyes,70.99,puffy_eyes,36.68,clear_face,47.79,False
10034054603_1.png,wrinkles,96.67,wrinkles,98.88,wrinkles,72.22,True
10036148024_1.png,darkspots,70.37,darkspots,73.23,darkspots,92.11,True
10036201296_0.png,wrinkles,99.9,wrinkles,99.85,wrinkles,95.05,True
10036201296_1.png,acne,99.83,acne,99.18,acne,98.99,True
10036408016_1.png,wrinkles,99.92,wrinkles,99.74,wrinkles,99.94,True
10036797676_9.png,wrinkles,79.76,wrinkles,94.2,wrinkles,80.7,True
10037706105_2.png,clear_face,98.84,clear_face,45.92,clear_face,73.41,True
10039506196_0.png,acne,52.71,wrinkles,87.34,wrinkles,65.41,False
10040535885_0.png,darkspots,99.57,darkspots,74.23,darkspots,99.89,True
100409917_0.png,darkspots,51.46,darkspots,53.49,acne,50.85,False
10045564595_0.png,wrinkles,99.22,wrinkles,75.42,wrinkles,99.29,True
10045837635_0.png,wrinkles,99.42,wrinkles,98.25,wrinkles,99.59,True
10045870384_16.png,wrinkles,99.96,wrinkles,99.73,wrinkles,99.85,True
10046373856_0.png,wrinkles,99.61,wrinkles,99.15,wrinkles,99.74,True
10047178694_0.png,wrinkles,99.98,wrinkles,98.99,wrinkles,99.92,True
10047515466_0.png,acne,52.85,acne,83.45,darkspots,85.27,False
10048280973_0.png,wrinkles,99.33,wrinkles,98.59,wrinkles,99.49,True
10048282853_0.png,wrinkles,99.93,wrinkles,75.37,wrinkles,96.95,True
10048490403_0.png,wrinkles,96.57,wrinkles,99.48,darkspots,92.25,False
10049967495_0.png,wrinkles,95.38,wrinkles,99.58,wrinkles,96.58,True
10050314753_0.png,wrinkles,99.97,wrinkles,99.61,wrinkles,99.88,True
10050314753_6.png,wrinkles,99.92,wrinkles,99.84,wrinkles,99.28,True
10051781696_0.png,wrinkles,95.98,wrinkles,95.06,wrinkles,59.52,True
10053264735_0.png,clear_face,59.53,clear_face,34.67,clear_face,56.16,True
100558324_0.png,wrinkles,57.02,acne,60.95,acne,32.32,False
10057872366_2.png,wrinkles,95.66,wrinkles,90.1,wrinkles,54.58,True
10057967623_1.png,wrinkles,98.27,clear_face,55.96,clear_face,49.52,False
10058040555_0.png,wrinkles,99.42,wrinkles,74.66,wrinkles,99.78,True
10058040555_1.png,wrinkles,99.92,wrinkles,99.38,wrinkles,100.0,True
10058344554_3.png,wrinkles,99.04,wrinkles,98.08,wrinkles,86.09,True
10058766553_0.png,wrinkles,99.95,wrinkles,76.04,wrinkles,99.77,True
10059426926_4.png,wrinkles,53.76,wrinkles,53.04,wrinkles,99.35,True
10059706294_0.png,wrinkles,99.99,wrinkles,99.59,wrinkles,99.94,True
10062169325_0.png,wrinkles,99.94,wrinkles,99.86,wrinkles,99.71,True
10063005606_0.png,wrinkles,99.08,wrinkles,99.49,wrinkles,97.7,True
10063371096_0.png,wrinkles,92.36,wrinkles,58.08,wrinkles,94.79,True
10067141654_0.png,wrinkles,99.44,wrinkles,99.38,wrinkles,96.67,True
10067141654_2.png,wrinkles,98.67,wrinkles,87.63,wrinkles,84.43,True
10069273575_0.png,wrinkles,99.76,wrinkles,97.66,wrinkles,97.03,True
10069412585_1.png,wrinkles,99.99,wrinkles,99.94,wrinkles,94.76,True
10069412585_2.png,wrinkles,98.02,wrinkles,99.37,wrinkles,82.93,True
10069565556_0.png,wrinkles,99.98,wrinkles,93.36,wrinkles,97.23,True
10069601323_0.png,wrinkles,98.26,wrinkles,82.83,wrinkles,99.83,True
10070959984_0.png,wrinkles,99.99,wrinkles,99.93,wrinkles,100.0,True
10072022103_1.png,wrinkles,96.55,wrinkles,81.31,darkspots,83.76,False
10073008475_2.png,wrinkles,96.9,clear_face,52.79,wrinkles,97.2,False
10073374034_1.png,wrinkles,99.97,wrinkles,99.89,wrinkles,99.38,True
10073382035_0.png,wrinkles,99.25,wrinkles,98.57,wrinkles,98.58,True
10074921165_0.png,wrinkles,98.7,wrinkles,98.48,wrinkles,99.53,True
10077243095_0.png,wrinkles,54.4,wrinkles,63.37,wrinkles,98.8,True
10077243095_1.png,wrinkles,99.85,wrinkles,99.17,wrinkles,99.73,True
10077376876_0.png,wrinkles,66.95,wrinkles,97.81,wrinkles,99.01,True
10077788086_0.png,wrinkles,44.29,wrinkles,76.87,acne,81.87,False
10079358275_0.png,wrinkles,91.63,wrinkles,97.49,wrinkles,44.12,True
10081022045_0.png,wrinkles,99.94,wrinkles,95.47,wrinkles,99.96,True
10081026766_0.png,wrinkles,99.77,wrinkles,90.88,wrinkles,99.95,True
10081879634_0.png,wrinkles,99.58,wrinkles,98.56,wrinkles,87.57,True
10085067525_0.png,wrinkles,97.89,wrinkles,85.05,wrinkles,96.3,True
1008851595_1.png,clear_face,75.11,clear_face,35.09,clear_face,75.07,True
10088585214_0.png,acne,70.7,acne,86.42,darkspots,48.93,False
10089453906_0.png,wrinkles,99.98,wrinkles,99.71,wrinkles,97.93,True
10090291583_0.png,wrinkles,89.43,wrinkles,99.77,wrinkles,98.34,True
10090911305_0.png,wrinkles,56.61,wrinkles,67.32,wrinkles,51.49,True
10091389216_0.png,wrinkles,99.99,wrinkles,99.95,wrinkles,99.99,True
10093391705_0.png,wrinkles,99.93,wrinkles,99.78,wrinkles,99.98,True
10093442244_0.png,wrinkles,98.26,wrinkles,98.72,wrinkles,97.97,True
10093996896_0.png,wrinkles,59.73,clear_face,78.32,wrinkles,68.76,False
1009441492_0.png,wrinkles,99.91,wrinkles,96.6,wrinkles,97.17,True
10100342194_0.png,acne,83.76,clear_face,51.4,wrinkles,50.61,False
10101820984_0.png,wrinkles,99.97,wrinkles,99.98,wrinkles,99.97,True
10101869525_0.png,wrinkles,99.93,wrinkles,99.15,wrinkles,99.7,True
10104177634_0.png,wrinkles,99.7,wrinkles,95.59,wrinkles,98.05,True
10108870355_1.png,wrinkles,99.98,wrinkles,99.83,wrinkles,99.83,True
10111493615_0.png,wrinkles,86.26,wrinkles,77.86,wrinkles,70.98,True
10111593224_0.png,wrinkles,62.66,wrinkles,57.31,clear_face,35.49,False
10116191706_0.png,wrinkles,99.74,wrinkles,94.89,wrinkles,99.86,True
10118771074_0.png,wrinkles,89.63,wrinkles,56.57,wrinkles,76.62,True
10118771074_1.png,wrinkles,99.32,wrinkles,98.54,wrinkles,99.64,True
10120644865_0.png,wrinkles,99.95,wrinkles,99.6,wrinkles,99.73,True
10120955175_0.png,wrinkles,99.88,wrinkles,58.88,wrinkles,98.26,True
10121410886_1.png,wrinkles,98.74,wrinkles,96.88,wrinkles,96.73,True
10121825003_0.png,wrinkles,91.22,wrinkles,92.23,wrinkles,70.06,True
10124094093_0.png,wrinkles,99.99,wrinkles,99.93,wrinkles,99.85,True
10126386513_0.png,acne,63.08,wrinkles,44.93,wrinkles,99.17,False
10126598976_0.png,wrinkles,68.99,wrinkles,77.37,wrinkles,92.41,True
10127031693_0.png,wrinkles,99.99,wrinkles,99.37,wrinkles,99.91,True
10128081914_0.png,wrinkles,91.81,wrinkles,90.69,wrinkles,99.16,True
10128081914_1.png,wrinkles,96.62,wrinkles,80.55,wrinkles,98.92,True
10128138523_0.png,clear_face,88.72,wrinkles,66.58,wrinkles,79.06,False
10128279703_0.png,wrinkles,99.92,wrinkles,95.03,wrinkles,99.61,True
10128760623_0.png,wrinkles,99.85,wrinkles,97.39,wrinkles,99.51,True
10128898726_0.png,wrinkles,99.18,wrinkles,92.12,wrinkles,90.51,True
10129127066_0.png,wrinkles,40.4,wrinkles,47.2,wrinkles,76.74,True
10129349314_1.png,wrinkles,99.83,wrinkles,96.97,wrinkles,99.86,True
10132764795_0.png,wrinkles,99.99,wrinkles,99.78,wrinkles,99.98,True
10132875543_2.png,wrinkles,98.77,wrinkles,99.61,wrinkles,94.39,True
10132895183_0.png,wrinkles,99.81,wrinkles,94.98,wrinkles,98.69,True
10134010206_0.png,clear_face,76.62,clear_face,49.48,wrinkles,90.46,False
10137312283_2.png,clear_face,49.31,clear_face,70.07,wrinkles,94.96,False
10137342165_0.png,wrinkles,99.99,wrinkles,99.96,wrinkles,99.93,True
10138568105_0.png,clear_face,77.62,puffy_eyes,64.31,clear_face,58.87,False
10139220436_0.png,wrinkles,99.91,wrinkles,98.33,wrinkles,98.35,True
10139462914_0.png,wrinkles,99.83,wrinkles,99.88,wrinkles,82.91,True
10140317723_0.png,wrinkles,77.66,wrinkles,72.17,wrinkles,57.28,True
10140479125_0.png,wrinkles,93.12,wrinkles,99.23,wrinkles,98.81,True
10140519835_0.png,wrinkles,85.02,puffy_eyes,68.67,wrinkles,54.15,False
10140816675_1.png,wrinkles,96.31,wrinkles,96.64,wrinkles,57.64,True
10142547975_3.png,wrinkles,57.45,wrinkles,51.19,acne,75.93,False
10146111645_0.png,wrinkles,99.78,clear_face,99.75,wrinkles,99.91,False
10148609684_0.png,wrinkles,98.85,wrinkles,99.6,wrinkles,93.93,True
10149500556_0.png,clear_face,83.57,clear_face,59.91,wrinkles,38.87,False
10149539554_0.png,wrinkles,66.78,clear_face,73.09,wrinkles,48.21,False
10151318296_0.png,clear_face,88.5,clear_face,84.82,clear_face,72.87,True
10151318296_1.png,wrinkles,69.72,wrinkles,95.81,acne,67.76,False
10151796836_2.png,wrinkles,99.97,wrinkles,95.33,wrinkles,98.62,True
10151796836_3.png,wrinkles,99.7,wrinkles,99.66,wrinkles,99.15,True
10153314464_0.png,clear_face,94.63,clear_face,50.83,clear_face,35.94,True
10153315736_0.png,wrinkles,99.95,wrinkles,99.26,wrinkles,85.91,True
10153697855_0.png,wrinkles,94.85,wrinkles,84.56,wrinkles,92.07,True
10155640335_0.png,wrinkles,99.98,wrinkles,98.96,wrinkles,99.97,True
10158749505_0.png,wrinkles,98.11,wrinkles,71.47,wrinkles,94.34,True
10159919816_1.png,wrinkles,99.98,wrinkles,99.19,wrinkles,99.54,True
10161393325_0.png,wrinkles,99.96,wrinkles,99.97,wrinkles,99.86,True
10165619574_0.png,wrinkles,99.94,wrinkles,98.16,wrinkles,99.95,True
10166857985_0.png,wrinkles,99.98,wrinkles,99.96,wrinkles,99.95,True
10172082336_0.png,wrinkles,99.5,wrinkles,75.29,wrinkles,90.67,True
10174135533_1.png,wrinkles,97.05,wrinkles,99.92,wrinkles,99.9,True
1017581403_0.png,wrinkles,99.92,wrinkles,99.97,wrinkles,99.91,True
10179626513_0.png,wrinkles,82.95,wrinkles,67.26,wrinkles,97.56,True
10179707313_2.png,wrinkles,98.56,wrinkles,56.41,wrinkles,78.01,True
10179960644_0.png,wrinkles,67.19,wrinkles,69.11,wrinkles,53.81,True
10180761483_0.png,wrinkles,99.99,wrinkles,99.97,wrinkles,99.87,True
10180761483_14.png,wrinkles,100.0,wrinkles,99.85,wrinkles,99.51,True
10180761483_2.png,wrinkles,100.0,wrinkles,99.93,wrinkles,99.93,True
